devstack-vagrant;aa59eb0;Zuul;2023-06-30

devstack-vagrant;b3acef8;Zuul;2023-06-30

devstack-vagrant;3155394;Xingjian Zhang;2023-02-27

devstack-vagrant;0d166a8;Xingjian Zhang;2023-02-27

devstack-vagrant;8fbf174;Xingjian Zhang;2023-02-27

devstack-vagrant;8b300b8;Chao Zhang;2020-08-04

devstack-vagrant;566a3af;Ghanshyam Mann;2020-04-20

devstack-vagrant;eb992f3;Brian Haley;2019-06-10

devstack-vagrant;8e6e640;OpenDev Sysadmins;2019-04-19

devstack-vagrant;e0623b0;Abel Navarro;2017-12-05

devstack-vagrant;b4365be;Jim Riordan;2017-06-01

devstack-vagrant;323306a;Jim Riordan;2017-06-01

devstack-vagrant;20b2965;Jim Riordan;2017-06-01

devstack-vagrant;c109cd0;Andreas Jaeger;2017-03-08

devstack-vagrant;e7b0367;Jenkins;2017-03-06

devstack-vagrant;cbedf6b;Jenkins;2017-03-06

devstack-vagrant;2656879;Sviatoslav Sydorenko;2016-07-12

devstack-vagrant;ad67271;Sviatoslav Sydorenko;2016-07-12

devstack-vagrant;e15d17e;Andreas Jaeger;2015-12-30

devstack-vagrant;262398f;Jenkins;2015-11-04

devstack-vagrant;8485e2c;Michal Rostecki;2015-09-19

devstack-vagrant;4a3f15c;enricobacis;2015-09-09

devstack-vagrant;6c753a8;enricobacis;2015-09-09

devstack-vagrant;4eea7f3;enricobacis;2015-09-09

devstack-vagrant;2fb1e4e;Hiroshi Miura;2015-07-21

devstack-vagrant;f748559;Jerry Zhao;2015-06-10

devstack-vagrant;b32412f;Eric Wright;2015-04-08

devstack-vagrant;eab558e;Tong Damon Da;2015-03-28

devstack-vagrant;1782ba1;Jenkins;2015-02-18

devstack-vagrant;64ef7d6;Geronimo Orozco;2015-01-07

devstack-vagrant;d65fe58;Geronimo Orozco;2015-01-05

devstack-vagrant;c94d2b3;Christian Berendt;2014-11-06

devstack-vagrant;9026d46;Jenkins;2014-10-30

devstack-vagrant;3937c1f;Jenkins;2014-10-30

devstack-vagrant;cd1b2f3;Jenkins;2014-10-30

devstack-vagrant;5420f20;Jenkins;2014-10-30

devstack-vagrant;e229dfc;Jenkins;2014-10-30

devstack-vagrant;e6720b9;Jenkins;2014-10-30

devstack-vagrant;0bfa78e;Christian Berendt;2014-10-08

devstack-vagrant;8740736;Christian Berendt;2014-10-01

devstack-vagrant;93cb289;Christian Berendt;2014-10-01

devstack-vagrant;c9e799b;Christian Berendt;2014-09-30

devstack-vagrant;b1e4ab7;Christian Berendt;2014-09-30

devstack-vagrant;f06427d;Christian Berendt;2014-09-30

devstack-vagrant;162b0b5;Christian Berendt;2014-09-30

devstack-vagrant;4a29af6;Jenkins;2014-09-30

devstack-vagrant;3823ba2;Christian Berendt;2014-09-30

devstack-vagrant;6b681b7;Christian Berendt;2014-09-30

devstack-vagrant;db6d680;Jenkins;2014-09-29

devstack-vagrant;d174bea;Jenkins;2014-09-29

devstack-vagrant;1363e5a;Jenkins;2014-09-29

devstack-vagrant;89efc99;Christian Berendt;2014-09-22

devstack-vagrant;8933d60;Christian Berendt;2014-09-22

devstack-vagrant;d678e0f;Christian Berendt;2014-09-20

devstack-vagrant;d2826a5;Christian Berendt;2014-09-20

devstack-vagrant;c3d5a92;Jenkins;2014-09-03

devstack-vagrant;af756b3;Jenkins;2014-09-03

devstack-vagrant;a74b09f;Jenkins;2014-09-03

devstack-vagrant;26d5821;Jenkins;2014-09-03

devstack-vagrant;8008ecd;Christian Berendt;2014-09-03

devstack-vagrant;4129342;Christian Berendt;2014-09-03

devstack-vagrant;580fc64;Jenkins;2014-08-28

devstack-vagrant;f49d075;Christian Berendt;2014-08-07

devstack-vagrant;9a93e43;Christian Berendt;2014-08-07

devstack-vagrant;54c8738;Christian Berendt;2014-08-07

devstack-vagrant;845ffd6;Christian Berendt;2014-08-07

devstack-vagrant;14d1bc6;Christian Berendt;2014-08-06

devstack-vagrant;7a830d5;Sean Dague;2014-07-21

devstack-vagrant;2262bb4;Sean Dague;2014-07-21

devstack-vagrant;effe364;Sean Dague;2014-07-21

devstack-vagrant;a441587;Longgeek;2014-07-08

devstack-vagrant;2a1e2ee;Sean Dague;2014-05-29

devstack-vagrant;1a20a28;Chris Dent;2014-05-29

devstack-vagrant;919de74;Sean Dague;2014-05-29

devstack-vagrant;cd168e6;Sean Dague;2014-05-29

devstack-vagrant;fd79f17;Chris Dent;2014-05-29

devstack-vagrant;aa556b8;Chris Dent;2014-05-29

devstack-vagrant;3a04738;Sean Dague;2014-04-05

devstack-vagrant;bdcd882;Sean Dague;2014-04-05

devstack-vagrant;329d1d0;Sean Dague;2014-04-03

devstack-vagrant;6183fc3;Geronimo Orozco;2014-04-02

devstack-vagrant;543d77a;Geronimo Orozco;2014-04-02

devstack-vagrant;ad2add2;Geronimo Orozco;2014-04-02

devstack-vagrant;8810a36;Geronimo Orozco;2014-04-02

devstack-vagrant;3a744c1;Geronimo Orozco;2014-04-02

devstack-vagrant;dea07d6;Geronimo Orozco;2014-04-02

devstack-vagrant;b853f16;Geronimo Orozco;2014-04-02

devstack-vagrant;18525b6;Sean Dague;2014-03-27

devstack-vagrant;2c453a2;Sean Dague;2014-03-27

devstack-vagrant;20ed03a;Sean Dague;2014-03-27

devstack-vagrant;fc8b4ca;Sean Dague;2014-03-25

devstack-vagrant;d627159;Sean Dague;2014-03-25

devstack-vagrant;422f0d2;Sean Dague;2014-03-12

devstack-vagrant;05f5308;Sean Dague;2014-03-10

devstack-vagrant;3a1ba75;Sean Dague;2014-03-06

devstack-vagrant;1f4179b;Sean Dague;2014-03-03

devstack-vagrant;9d51a85;Sean Dague;2014-03-03

devstack-vagrant;8700f3b;Sean Dague;2014-03-03

devstack-vagrant;62a3a28;Sean Dague;2014-03-03

devstack-vagrant;b3e958b;Sean Dague;2014-03-03

devstack-vagrant;53086ca;Sean Dague;2014-03-01

devstack-vagrant;4c25788;Sean Dague;2014-02-28

devstack-vagrant;b10a18e;Sean Dague;2014-02-22

devstack-vagrant;f9f4887;Sean Dague;2014-02-22

devstack-vagrant;9756d82;Sean Dague;2014-02-22

devstack-vagrant;ac52baf;Sean Dague;2014-02-22

devstack-vagrant;0b1e6dc;Sean Dague;2014-02-22
puppet-barbican;06683eb;Zuul;2024-10-14

puppet-barbican;dfd010e;Takashi Kajinami;2024-10-13

puppet-barbican;c72177c;Takashi Kajinami;2024-10-13

puppet-barbican;1f7e026;OpenStack Release Bot;2024-10-04

puppet-barbican;6819e89;Takashi Kajinami;2024-10-02

puppet-barbican;5e0d716;Zuul;2024-09-30

puppet-barbican;8bbaa1b;Takashi Kajinami;2024-09-30

puppet-barbican;b0f5ecb;Takashi Kajinami;2024-09-27

puppet-barbican;f084736;Zuul;2024-09-24

puppet-barbican;d234232;Takashi Kajinami;2024-09-22

puppet-barbican;07fc05c;Zuul;2024-09-19

puppet-barbican;a76c93a;Takashi Kajinami;2024-09-18

puppet-barbican;f7e2d67;Takashi Kajinami;2024-09-18

puppet-barbican;aeda2af;Takashi Kajinami;2024-09-16

puppet-barbican;2f64e99;Takashi Kajinami;2024-09-16

puppet-barbican;f907d37;Zuul;2024-08-22

puppet-barbican;965812b;Takashi Kajinami;2024-07-21

puppet-barbican;da65faf;OpenStack Release Bot;2024-05-10

puppet-barbican;7c14bfa;Zuul;2024-04-26

puppet-barbican;bff31cb;Takashi Kajinami;2024-04-23

puppet-barbican;160f279;Takashi Kajinami;2024-04-20

puppet-barbican;475bdd2;Takashi Kajinami;2024-04-19

puppet-barbican;35a2f76;OpenStack Release Bot;2024-04-18

puppet-barbican;944e5a5;Takashi Kajinami;2024-04-15

puppet-barbican;a67c2c8;Takashi Kajinami;2024-04-15

puppet-barbican;f62dcc9;Zuul;2024-04-12

